"Guid","ACV__c","ApprovalStatus__c","BillingOrganization__c","BillingTitle__c","CurrencyIsoCode","Custom_Contract_Status__c","Customer_Quote_1__c","Customer_Quote_2__c","EditLinesFieldSetName__c","Governing_Law__c","Group_Line_Items__c","Liability_Cap__c","Lines_to_Approve__c","Price_Book_Override__c","Print_Discounts__c","Print_Line_Item_Prices__c","Print_List_Prices__c","Print_Notes__c","Print_Signature_Block__c","Print_Terms_and_Conditions__c","Product_Detail__c","Region__c","Renewal_Uplift__c","Renewal__c","Requires_Approval_from__c","SBQQ__BillingCity__c","SBQQ__BillingCountry__c","SBQQ__BillingFrequency__c","SBQQ__BillingName__c","SBQQ__BillingPostalCode__c","SBQQ__BillingState__c","SBQQ__BillingStreet__c","SBQQ__ChangeVersion__c","SBQQ__ConsumptionRateOverride__c","SBQQ__ContractingMethod__c","SBQQ__CustomerDiscount__c","SBQQ__DefaultTemplate__c","SBQQ__DeliveryMethod__c","SBQQ__DistributorDiscount__c","SBQQ__DocumentStatus__c","SBQQ__EmailTemplateId__c","SBQQ__EndDate__c","SBQQ__ExpirationDate__c","SBQQ__FirstSegmentTermEndDate__c","SBQQ__GenerateContractedPrice__c","SBQQ__Introduction__c","SBQQ__Key__c","SBQQ__LineItemsGrouped__c","SBQQ__LineItemsPrinted__c","SBQQ__MarkupRate__c","SBQQ__Notes__c","SBQQ__OrderByQuoteLineGroup__c","SBQQ__OrderBy__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__OriginalQuote__c","SBQQ__PaperSize__c","SBQQ__PartnerDiscount__c","SBQQ__PaymentTerms__c","SBQQ__PreviousChangeQuote__c","SBQQ__PriceBook__c","SBQQ__PricebookId__c","SBQQ__Primary__c","SBQQ__QuoteLanguage__c","SBQQ__QuoteProcessId__c","SBQQ__QuoteTemplateId__c","SBQQ__RenewalTerm__c","SBQQ__RenewalUpliftRate__c","SBQQ__ShippingCity__c","SBQQ__ShippingCountry__c","SBQQ__ShippingName__c","SBQQ__ShippingPostalCode__c","SBQQ__ShippingState__c","SBQQ__ShippingStreet__c","SBQQ__Source__c","SBQQ__StartDate__c","SBQQ__Status__c","SBQQ__SubscriptionTerm__c","SBQQ__TargetCustomerAmount__c","SBQQ__Type__c","SBQQ__Unopened__c","SBQQ__WatermarkShown__c","ShippingOrganization__c","ShippingTitle__c","Slide_Image__c","SubmittedDate__c","Use_Case_1__c","Use_Case_2__c","Use_Case_3__c","Use_Custom_Terms__c"
0033ea83-87b8-4874-86a4-ff4cd2827a95,"#N/A","#N/A","#N/A","#N/A",GBP,Standard Language,"#N/A","#N/A",Standard,State of California,false,1x Payments,"#N/A","#N/A",false,true,true,false,true,true,Names,Central,3.0,"Auto Renewal, 60 Day Notice","#N/A",London,United Kingdom,"#N/A",London Holdings,EC2N 4AY,"#N/A","Heron Tower
110 Bishopsgate","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-02-22,"#N/A","#N/A","Greetings Tom Weston,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and guidance proved to be invaluable and ultimately resulted in a better, more cost effective solution for your organization.

I will call you next week to discuss this proposal. As always, please don’t hesitate to call me if you have questions or if I can be of further assistance.

I hope we can continue working together into the future.


With best regards,

Darren Laws

dlaws@salesforce.com","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",Net 30,"#N/A",fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,01s3h000004kcygAAA,true,"#N/A",a0i3h000001Pg48,"#N/A","#N/A",3.0,London,United Kingdom,London Holdings,EC2N 4AY,"#N/A","Heron Tower
110 Bishopsgate","#N/A",2022-02-15,Draft,24.0,"#N/A",Quote,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false
005cc7e8-b9d0-499b-a3c2-8103a79a1dd5,"#N/A","#N/A","#N/A","#N/A",USD,Standard Language,"#N/A","#N/A",Standard,State of California,false,1x Payments,"#N/A","#N/A",false,true,true,false,true,true,Names,Central,3.0,"Auto Renewal, 60 Day Notice","#N/A","#N/A","#N/A","#N/A",Hyatt,"#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2024-01-17,2022-02-01,"#N/A","#N/A","Greetings Hyatt ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and guidance proved to be invaluable and ultimately resulted in a better, more cost effective solution for your organization.

I will call you next week to discuss this proposal. As always, please don’t hesitate to call me if you have questions or if I can be of further assistance.

I hope we can continue working together into the future.


With best regards,

John Rozsits

jrozsits@salesforce.com","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",Net 30,"#N/A",fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,01s3h000004kcygAAA,true,"#N/A",a0i3h000001Pg48,"#N/A",12.0,3.0,"#N/A","#N/A",Hyatt,"#N/A","#N/A","#N/A","#N/A",2023-01-18,Draft,"#N/A","#N/A",Renewal,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false
006182cd-5223-47bd-8650-90a7be7831e0,"#N/A","#N/A","#N/A","#N/A",USD,Standard Language,"#N/A","#N/A",Standard,State of California,false,1x Payments,"#N/A","#N/A",false,true,true,false,true,true,Names,Central,3.0,"Auto Renewal, 60 Day Notice","#N/A",Chicago,United States,"#N/A",Elite Hospitality Group,60654,IL,111 West Illinois Street,"#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-02-27,"#N/A","#N/A","Greetings Mike McClernon,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and guidance proved to be invaluable and ultimately resulted in a better, more cost effective solution for your organization.

I will call you next week to discuss this proposal. As always, please don’t hesitate to call me if you have questions or if I can be of further assistance.

I hope we can continue working together into the future.


With best regards,

Michael Oleszkiewicz

moleszkiewicz@salesforce.com","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",Net 30,"#N/A",fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,01s3h000004kcygAAA,true,"#N/A",a0i3h000001Pg48,"#N/A","#N/A",3.0,Chicago,United States,Elite Hospitality Group,60654,IL,111 West Illinois Street,"#N/A",2022-03-19,Draft,12.0,"#N/A",Quote,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false
006aa6b9-ba93-4512-9a0a-bda942915329,"#N/A","#N/A","#N/A","#N/A",USD,Standard Language,"#N/A","#N/A",Standard,State of California,false,1x Payments,"#N/A","#N/A",false,true,true,false,true,true,Names,Central,3.0,"Auto Renewal, 60 Day Notice","#N/A",San Francisco,USA,"#N/A",ECorp,94106,Ca,141 Woodward St,"#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-02-20,"#N/A","#N/A","Greetings Philip Price,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and guidance proved to be invaluable and ultimately resulted in a better, more cost effective solution for your organization.

I will call you next week to discuss this proposal. As always, please don’t hesitate to call me if you have questions or if I can be of further assistance.

I hope we can continue working together into the future.


With best regards,

Jacques Hamou

jhamou@salesforce.com","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",Net 60,"#N/A",fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,01s3h000004kcygAAA,true,"#N/A",a0i3h000001Pg48,"#N/A","#N/A",3.0,San Francisco,USA,ECorp,94106,Ca,141 Woodward St,"#N/A",2022-02-17,Draft,12.0,"#N/A",Quote,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false
007c8426-2102-45c4-aac6-2c7e6d4b1b78,"#N/A","#N/A","#N/A","#N/A",USD,Standard Language,"#N/A","#N/A",Standard,State of California,false,1x Payments,"#N/A","#N/A",false,true,true,false,true,true,Names,"#N/A",3.0,"Auto Renewal, 60 Day Notice","#N/A",Boston,USA,"#N/A",Joe Davola,02116,MA,815 Boylston st,"#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-10-20,"#N/A","#N/A","Greetings Joe Davola,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and guidance proved to be invaluable and ultimately resulted in a better, more cost effective solution for your organization.

I will call you next week to discuss this proposal. As always, please don’t hesitate to call me if you have questions or if I can be of further assistance.

I hope we can continue working together into the future.


With best regards,

Matthew Maiuri

mmaiuri@salesforce.com","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",Net 30,"#N/A",fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,01s3h000004kcygAAA,true,"#N/A",a0i3h000001Pg48,"#N/A","#N/A",3.0,Boston,USA,Joe Davola,02116,MA,815 Boylston st,"#N/A",2021-10-20,Draft,12.0,"#N/A",Quote,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false
00835368-a6dc-403a-809a-861807a3f4b9,"#N/A","#N/A","#N/A","#N/A",USD,Standard Language,"#N/A","#N/A",Standard,State of California,false,1x Payments,"#N/A","#N/A",false,true,true,false,true,true,Names,"#N/A",3.0,"Auto Renewal, 60 Day Notice","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-10-20,"#N/A","#N/A","Greetings Joe Davola,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and guidance proved to be invaluable and ultimately resulted in a better, more cost effective solution for your organization.

I will call you next week to discuss this proposal. As always, please don’t hesitate to call me if you have questions or if I can be of further assistance.

I hope we can continue working together into the future.


With best regards,

Matthew Maiuri

mmaiuri@salesforce.com","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",Net 30,"#N/A",fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,01s3h000004kcygAAA,true,"#N/A",a0i3h000001Pg48,"#N/A","#N/A",3.0,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2021-10-13,Draft,24.0,"#N/A",Quote,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false
00b9629e-9c6a-4eab-ad08-192b70ef5833,"#N/A",Approved,"#N/A","#N/A",USD,Standard Language,"#N/A","#N/A",Standard,State of California,false,1x Payments,"#N/A","#N/A",false,true,true,false,true,true,Names,Central,3.0,"Auto Renewal, 60 Day Notice","#N/A","#N/A","#N/A","#N/A",Panes INC,"#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-02-11,"#N/A","#N/A","Greetings Luisa Cimiano,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and guidance proved to be invaluable and ultimately resulted in a better, more cost effective solution for your organization.

I will call you next week to discuss this proposal. As always, please don’t hesitate to call me if you have questions or if I can be of further assistance.

I hope we can continue working together into the future.


With best regards,

Ana Serrano Corces

ana.serrano@salesforce.com","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",Net 30,"#N/A",fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,01s3h000004kcygAAA,true,"#N/A",a0i3h000001Pg48,"#N/A","#N/A",3.0,"#N/A","#N/A",Panes INC,"#N/A","#N/A","#N/A","#N/A",2022-02-04,Approved,12.0,"#N/A",Quote,false,false,"#N/A","#N/A","#N/A",2022-02-04,"#N/A","#N/A","#N/A",false
00f0f924-7290-43df-8a75-8496e5eac524,"#N/A","#N/A","#N/A","#N/A",USD,Standard Language,"#N/A","#N/A",Standard,State of California,false,1x Payments,"#N/A","#N/A",false,true,true,false,true,true,Names,Central,3.0,"Auto Renewal, 60 Day Notice","#N/A",San Francisco,United States,"#N/A",Eurostars hotel Group,94105,CA,5 Market Street,"#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2024-03-18,2022-02-27,"#N/A","#N/A","Greetings Eurostars hotel Group ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and guidance proved to be invaluable and ultimately resulted in a better, more cost effective solution for your organization.

I will call you next week to discuss this proposal. As always, please don’t hesitate to call me if you have questions or if I can be of further assistance.

I hope we can continue working together into the future.


With best regards,

Stef Toe

stoe@salesforce.com","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",Net 30,"#N/A",fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,01s3h000004kcygAAA,true,"#N/A",a0i3h000001Pg48,"#N/A",12.0,3.0,San Francisco,United States,Eurostars hotel Group,94105,CA,5 Market Street,"#N/A",2023-03-20,Draft,"#N/A","#N/A",Renewal,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false
00fecc06-2aaa-45ff-80ee-cdef53f35b4c,"#N/A","#N/A","#N/A","#N/A",USD,Standard Language,"#N/A","#N/A",Standard,State of California,false,1x Payments,"#N/A","#N/A",false,true,true,false,true,true,Names,Central,3.0,"Auto Renewal, 60 Day Notice","#N/A",San Francisco,United States,"#N/A",J. Peterman Company,94105,CA,50 Fremont Street,"#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2028-02-17,2022-02-07,"#N/A","#N/A","Greetings J. Peterman Company ,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and guidance proved to be invaluable and ultimately resulted in a better, more cost effective solution for your organization.

I will call you next week to discuss this proposal. As always, please don’t hesitate to call me if you have questions or if I can be of further assistance.

I hope we can continue working together into the future.


With best regards,

Robert Lopez

robert.lopez@salesforce.com","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",Net 30,"#N/A",fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,01s3h000004kcygAAA,true,"#N/A",a0i3h000001Pg48,"#N/A",36.0,3.0,San Francisco,United States,J. Peterman Company,94105,CA,50 Fremont Street,"#N/A",2025-02-17,Draft,"#N/A","#N/A",Renewal,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false
017ccabf-5ec8-473b-bcca-5c4541214ec9,"#N/A","#N/A","#N/A","#N/A",USD,Standard Language,"#N/A","#N/A",Standard,State of California,false,1x Payments,"#N/A","#N/A",false,true,true,false,true,true,Names,Central,3.0,"Auto Renewal, 60 Day Notice","#N/A",Reno,USA,"#N/A",Acme Corp,89950,Nevada,6027 Honey Terrace,"#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2020-10-09,"#N/A","#N/A","Greetings Andrea Sachs,


Enclosed is the proposal I promised you.

I also want to take this opportunity to thank you for all your help. Designing a suitable solution required that I become familiar with your products and your industry. As a result, your help and guidance proved to be invaluable and ultimately resulted in a better, more cost effective solution for your organization.

I will call you next week to discuss this proposal. As always, please don’t hesitate to call me if you have questions or if I can be of further assistance.

I hope we can continue working together into the future.


With best regards,

Derek Black

dblack@prodly.co","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",Net 30,"#N/A",fa5b3b37-5077-4ec2-9ae5-325e5d4b3f54,01s3h000004kcygAAA,false,"#N/A",a0i3h000001Pg48,"#N/A","#N/A","#N/A",Reno,USA,Acme Corp,89950,Nevada,6027 Honey Terrace,"#N/A",2020-11-01,Draft,12.0,"#N/A",Quote,false,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false
